Time Started,Cognitive Task,Screens
0:00:00,Data Exploration,Supporting material
0:02:42,Data Exploration,Map
0:02:47,Data Exploration,Supporting material
0:03:00,Data Exploration,Map
0:03:05,Generate Hypothesis,Supporting material
0:03:41,Generate Hypothesis,Supporting material
0:05:05,Set Goal,Map
0:05:11,Focus,Filter
0:05:14,Set Goal,Map
0:05:37,Focus,Filter
0:05:39,Set Goal,Statistics
0:05:59,Focus,Filter
0:06:17,Set Goal,Statistics
0:06:35,Set Goal,Cases
0:06:49,Set Goal,Statistics
0:07:24,Set Goal,Map
0:07:39,Focus,Filter
0:07:58,Set Goal,Map
0:08:00,Set Goal,Statistics
0:08:01,Set Goal,Map
0:08:36,Set Goal,Supporting material
0:08:43,Set Goal,Map
0:08:52,Focus,Filter
0:08:56,Set Goal,Statistics
0:09:00,Focus,Statistics
0:09:09,Focus,Filter
0:09:15,Test Hypothesis,Filter
0:09:58,Test Hypothesis,Filter
0:10:13,Assess Results,Statistics
0:10:23,Assess Results,Filter
0:10:36,Assess Results,Statistics
0:10:49,Assess Results,Statistics
0:10:55,Assess Results,Map
0:11:01,Generate Plan,Filter
0:11:13,Test Hypothesis,Filter
0:11:23,Assess Results,Map
0:11:26,Assess Results,Statistics
0:11:55,Assess Results,Statistics
0:12:01,Assess Results,Statistics
0:12:15,Assess Results,Map
0:12:40,Generate Plan,Filter
0:12:51,Generate Plan,Map
0:12:54,Generate Plan,Filter
0:13:05,Generate Plan,Map
0:13:11,Generate Plan,Statistics
0:13:12,Generate Plan,Filter
0:14:04,Generate Plan,Statistics
0:14:08,Generate Plan,Map
0:14:14,Generate Plan,Filter
0:14:19,Generate Plan,Map
0:14:31,Generate Plan,Filter
0:14:43,Test Hypothesis,Filter
0:14:58,Test Hypothesis,Filter
0:15:12,Assess Results,Statistics
0:15:27,Assess Results,Statistics
0:15:46,Assess Results,Statistics
0:16:10,Assess Results,Statistics
0:16:11,Test Hypothesis,Filter
0:16:20,Assess Results,Statistics
0:16:25,Assess Results,Filter
0:16:33,Generate Plan,Filter
0:16:45,Test Hypothesis,Filter
0:16:53,Test Hypothesis,Filter
0:16:58,Assess Results,Statistics
0:17:04,Generate Plan,Map
0:17:24,Test Hypothesis,Filter
0:17:30,Assess Results,Map
0:17:40,Assess Results,Statistics
0:17:49,Assess Results,Statistics
0:18:00,Conclude,Statistics
0:18:05,Conclude,Supporting material
0:18:14,Generate Hypothesis,Statistics
0:18:27,Generate Plan,Statistics
0:18:35,Generate Plan,Statistics
0:18:45,Generate Plan,Map
0:18:54,Generate Plan,Map
0:18:56,Generate Plan,Map
