Time Started,Cognitive Task,Screens
0:00:22,Task Understanding,Supporting Material
0:02:15,Focus,Map
0:02:37,Generate Hypothesis,Map
0:03:01,Task Understanding,Supporting Material
0:03:12,Set Goal,Map
0:03:14,Test Hypothesis,Filter
0:04:50,Create Artifact,Save Filter
0:04:59,Asses Results,Filtered Map
0:05:46,Task Understanding,Supporting Material
0:06:05,Refine Goal,Map
0:06:18,Test Hypothesis,Filter
0:07:01,Explore,Supporting Material
0:07:10,Test Hypothesis,Filter
0:07:24,Asses Results,Filtered Map
0:07:50,Asses Results,Statistics
0:08:35,Conclude,
0:08:40,Asses Results,Statistics
0:09:48,N/A,
