Time Started,Cognitive Task,Screens
0:00:15,Task Understanding,Supporting Material
0:02:00,N/A
0:02:27,Focus,Map
0:03:17,Set Goal
0:03:30,Test Hypothesis,Filter
0:04:40,Create Artifact,Save Filter
0:04:56,Asses Results,Filtered Map
0:05:04,Asses Results,Statistics
0:06:15,Interpert Data,Statistics
0:06:30,Explore,Supporting Material
0:06:50,Refine Goal,Statistics
0:06:59,Asses Results,Statistics
0:07:10,Refine Goal,Statistics
0:07:13,Test Hypothesis,Filter
0:08:01,Asses Results,Statistics
0:08:08,Asses Results,Filtered Map
0:08:30,Generate Hypothesis,Filtered Map
0:08:43,Asses Results,Filtered Map
0:09:37,Explore,Supporting Material
0:09:53,Refine Goal,Map
0:10:00,Test Hypothesis,Filter
0:10:31,Asses Results,Filtered Map
0:10:36,Test Hypothesis,Filter
0:10:40,Asses Results,Statistics
0:11:05,Refine Goal,
0:11:10,Test Hypothesis,Filter
0:11:27,Asses Results,Statistics
0:11:34,Asses Results,Filtered Map
0:11:46,Asses Results,Statistics
0:11:50,Test Hypothesis,Filter
0:11:54,Asses Results,Statistics
0:12:25,Generate Hypothesis,Statistics
0:12:32,Test Hypothesis,Filter
0:12:43,Asses Results,Statistics
0:12:48,Asses Results,Filtered Map
0:13:18,Asses Results,Statistics
0:13:25,Conclude,
0:14:18,Refine Goal,
0:14:21,Test Hypothesis,Filter
0:14:36,N/A,
0:14:41,Asses Results,Filtered Map
0:15:22,Conclude,
0:15:41,Asses Results,Filtered Map
0:15:48,Explore,Supporting Material
0:16:14,Generate Hypothesis,
0:16:18,Test Hypothesis,Filter
0:16:56,Create Artifact,Save Filter
0:17:10,Asses Results,Filtered Map
0:17:26,Interpert Data,
0:17:54,Task Understanding,Supporting Material
0:18:04,Conclude,
0:19:29,N/A,
