Time Started,Cognitive Task,Screens
0:00:16,Explore,Supporting material
0:01:00,Explore,Supporting material
0:01:44,Explore,Supporting material
0:02:46,Explore,"Map, Filter, supporting material"
0:03:02,Explore,Map (performance)
0:03:24,Explore,Map
0:03:50,Explore,Filter
0:04:20,Explore,Supporting material
0:05:00,Explore,Filter
0:05:35,Explore,Map
0:05:56,Explore,Statistics
0:06:21,Explore,Supporting material
0:07:09,Generate Hypothesis,Map
0:07:35,Generate Hypothesis,Map
0:08:07,Explore,Map sub-window
0:08:20,Test Hypothesis,Filter
0:08:37,Explore,Statistics
0:09:00,Explore,Supporting material
0:09:17,Explore,Statistics
0:09:30,Set Goal,Statistics
0:09:49,Set Goal,"Statistics, Map"
0:09:58,Test Hypothesis,Filter
0:10:16,Focus,Filter
0:10:36,Test Hypothesis,Filter
0:11:08,Assess Results,Map
0:11:13,Assess Results,Map
0:11:30,Assess Results,Statistics
0:12:03,Set Goal,"Map, Statistics"
0:12:35,Set Goal,Statistics
0:12:56,Focus,"Map, Filter"
0:13:26,Explore,Supporting material
0:14:06,Focus,Filter
0:14:23,Explore,Supporting material
0:14:37,Test Hypothesis,Filter
0:15:06,Assess Results,"Map, Statistics"
0:15:37,Assess Results,Statistics
0:15:51,Set Goal,Statistics
0:15:56,Explore,Supporting material
0:16:04,Focus,Filter
0:16:27,Test Hypothesis,Filter
0:16:34,Explore,Map
0:17:01,Test Hypothesis,Filter
0:17:35,Test Hypothesis,Filter
0:18:01,Test Hypothesis,Filter
0:18:20,Explore,Statistics
0:18:48,Explore,"Statistics, supporting material"
0:19:11,Explore,Statistics
0:19:43,Explore,"Map, Filter"
0:20:06,Explore,Filter
0:20:12,Test Hypothesis,Filter
0:20:41,Test Hypothesis,Filter
0:21:11,Assess Results,Map
0:21:55,Test Hypothesis,Map
0:22:18,Assess Results,Map
0:22:48,Test Hypothesis,Filter
0:23:12,Assess Results,Map
0:23:30,Test Hypothesis,Filter
0:23:40,Assess Results,Map
0:23:50,Test Hypothesis,Filter
0:24:04,Assess Results,Map
0:24:13,Test Hypothesis,Filter
0:24:26,Assess Results,Map
0:24:30,Conclude,"Map, supporting material"
0:24:54,Test Hypothesis,Filter
0:25:22,Generate Hypothesis,Filter
0:25:56,Test Hypothesis,Filter
0:26:33,Assess Results,Map
0:26:43,Test Hypothesis,Filter
0:26:50,Assess Results,Map
0:27:09,Assess Results,Filter
0:27:41,Assess Results,Statistics
0:28:17,Assess Results,Statistics
0:28:47,Explore,Filter
0:29:09,Conclude,Supporting material
0:29:29,Conclude,Filter
0:29:41,Explore,Statistics
0:29:51,Explore,Map
0:29:57,Explore,Filter
0:30:08,Explore,"Statistics, Map"
0:30:41,Explore,Statistics
0:31:05,Explore,Supporting material
0:31:25,Set Goal,Statistics
0:31:31,Test Hypothesis,Filter
0:32:13,Assess Results,"Statistics, Map"
0:32:25,Generate Hypothesis,"Map, Filter"
0:32:34,Focus,Filter
0:32:44,Test Hypothesis,Filter
0:33:00,Assess Results,Map
0:33:27,Test Hypothesis,Filter
0:33:41,Assess Results,Map
0:33:56,Test Hypothesis,Filter
0:34:21,Assess Results,Map
0:34:43,Explore,"Filter, supporting material"
0:35:08,Test Hypothesis,Filter
0:35:17,Assess Results,Map
0:35:20,Test Hypothesis,Filter
0:35:35,Explore,Supporting material
0:35:58,Test Hypothesis,Filter
0:36:02,Assess Results,Map
0:36:31,Conclude,Map
0:37:01,Conclude,Map
0:37:16,Test Hypothesis,Filter
0:37:34,Assess Results,Map
0:37:52,Conclude,Map
0:38:30,Explore,"Filter, map, statistics"
0:39:00,Explore,"Map, statistics"
0:39:06,Conclude,Map
0:39:20,Conclude,"Supporting material, map"
0:39:40,Conclude,Filter
0:40:30,Conclude,
