,Respondent,Anger,Contempt,Disgust,Fear,Joy,Sadness,Surprise,Sentimentality,Confusion,Brow Furrow,Brow Raise,Cheek Raise,Chin Raise,Dimpler,Eye Closure,Eye Widen,Inner Brow Raise,Lip Corner Depressor,Lip Press,Lip Pucker,Lip Stretch,Lip Suck,Lid Tighten,Nose Wrinkle,Smile,Smirk,Upper Lip Raise,Blink,Grade,Inference,Hypothesis,Test Hypothesis,Strategy
0,1,1.163229439,0.254943877,0.392873419,1.440809903,6.499545009,0.268705001,0.674075242,1.46005577,0.426818947,0.494412932,1.712082702,4.205576188,2.795081322,1.988059841,4.865003081,17.44039215,0.705617404,0.253202047,1.778184135,4.920908362,1.577789444,10.31857616,1.194925929,0.893259195,9.275257125,0.482011386,2.466853354,0.01058098,100,yes,yes,yes,www
1,2,1.544074496,2.33241584,0.481205279,1.416027627,0.570981207,0.424948692,1.505524073,0.719920899,1.200893089,1.974602485,3.769644528,0.734253121,5.827215661,3.704961814,2.584217943,1.078608405,0.498121707,0.221729364,4.026554739,0.753663325,4.551010249,7.177666268,1.292951703,0.257819033,0.701962168,2.881101127,0.724063158,0.006211578,50,yes,yes,yes,www
2,3,1.858314544,0.574012577,0.342345611,2.387849259,1.129676262,0.135472821,3.017968677,0.343934749,0.138781046,0.212219182,4.238951985,1.581454843,0.605568541,3.77272989,1.596388854,14.05857443,1.045825475,0.143856319,1.775112722,1.978853254,0.498200802,3.241352869,0.22947994,0.036331528,1.667142429,1.828332582,0.516913261,0.002635515,55,no,no,no,nnn
3,4,1.167415371,2.292134813,0.699926912,0.777725981,3.815991563,0.357908441,0.299902985,1.253224149,0.300186873,0.331710442,0.454867172,3.319003603,6.206028878,9.723702296,3.925298735,0.625646834,0.046985496,0.772990365,10.37376234,1.46302657,9.610665096,10.32126086,3.834506338,0.506663683,4.671886875,5.000366225,2.341052106,0.011137987,75,yes,no,no,wnn
4,5,0.552829574,3.125797248,0.089759344,0.258265643,4.016242468,1.487197023,0.075457196,2.939943516,4.258885927,7.287658089,0.183048699,3.360879869,11.45687269,37.68998743,2.433241352,0.171010252,0.144645902,5.572728496,13.78198431,3.339206255,15.8795974,11.34879451,2.433069844,0.72806736,6.761393642,9.708483751,1.967551836,0.005759011,65,yes,yes,yes,www
5,6,8.371884653,2.973906347,0.435011983,1.80035052,1.511286841,3.069497645,0.456487051,1.451205846,6.868748563,38.47468705,0.729055999,1.134280643,3.858032338,3.676550196,0.324477116,0.626775652,0.648439892,2.273875792,3.130875966,3.137642638,3.866366122,6.878368106,9.114809626,1.699111023,3.196959005,4.250185831,2.502914811,0.001144284,55,no,no,no,nnn
6,7,3.211663198,0.417058447,3.23384524,6.29007536,0.235172898,0.428236478,9.443915536,0.050569266,2.139127145,5.139946998,13.30587305,0.836582137,0.022659858,0.070882392,6.098866728,12.35412095,1.390102043,0.023673254,0.108497712,0.432045217,0.022390201,0.052106739,1.151823356,4.127416572,0.450601771,0.784333548,11.40865464,0.006310754,75,yes,yes,yes,www
7,11,0.632461673,2.3992021,0.21579527,0.768359807,0.58641358,0.248302525,1.251499164,1.312946143,0.580071681,0.614769543,2.451229784,1.351233207,3.977591732,8.84224832,2.271072493,2.232222305,1.39756897,1.295785309,3.300546696,0.653779184,1.744686929,7.877201482,2.755281042,0.241800116,1.617493753,4.703330371,2.057307493,0.005504422,55,no,no,no,nnn
8,12,0.242795686,0.74741991,0.072323838,0.448234877,0.033139181,0.295336178,0.286211309,0.538173752,0.335499949,0.606203496,1.750122672,0.5912424,3.396157804,6.320546252,2.60282226,0.53511103,0.367087775,0.505097581,3.658896661,1.864115636,2.489582077,6.241708311,0.244963803,0.122821509,0.402373621,1.954831452,0.127415877,0.003494384,100,yes,yes,yes,www
9,13,0.668232692,0.846188015,0.535587079,0.994688786,1.970158072,0.447266902,2.172482146,0.655342652,0.29365732,0.147937862,3.038225525,1.895717874,2.834770607,4.985164247,4.802086095,1.077103761,1.028291255,2.593173976,3.690110281,1.917309882,2.148790824,5.032961116,0.478120001,0.21689345,2.754814292,1.691327584,2.776857916,0.010526026,60,yes,no,no,wnn
