,Respondent,Grade,Facial_Expressions,Value
0,1,100.0,Anger,1.1632294387054425
304,1,100.0,Lip Pucker,4.920908362470414
288,1,100.0,Lip Press,1.778184135179189
32,1,100.0,Disgust,0.39287341929937075
272,1,100.0,Lip Corner Depressor,0.25320204731311036
240,1,100.0,Eye Widen,17.440392153508906
432,1,100.0,Blink,0.010580980201233365
224,1,100.0,Eye Closure,4.865003081310477
208,1,100.0,Dimpler,1.9880598413095982
48,1,100.0,Fear,1.4408099031643415
192,1,100.0,Chin Raise,2.795081322491118
176,1,100.0,Cheek Raise,4.205576188389108
160,1,100.0,Brow Raise,1.7120827019379252
144,1,100.0,Brow Furrow,0.49441293175516177
64,1,100.0,Joy,6.499545008723746
128,1,100.0,Confusion,0.4268189465268908
112,1,100.0,Sentimentality,1.4600557697318846
96,1,100.0,Surprise,0.6740752417163345
320,1,100.0,Lip Stretch,1.5777894440037206
336,1,100.0,Lip Suck,10.318576157742529
256,1,100.0,Inner Brow Raise,0.7056174043399196
80,1,100.0,Sadness,0.2687050012126882
368,1,100.0,Nose Wrinkle,0.89325919465263
384,1,100.0,Smile,9.275257125261174
352,1,100.0,Lid Tighten,1.1949259287126746
416,1,100.0,Upper Lip Raise,2.466853354119753
16,1,100.0,Contempt,0.2549438765488928
400,1,100.0,Smirk,0.4820113864238021
385,2,50.0,Smile,0.7019621683687898
337,2,50.0,Lip Suck,7.177666268222476
433,2,50.0,Blink,0.006211577868852459
193,2,50.0,Chin Raise,5.827215660863432
177,2,50.0,Cheek Raise,0.7342531214792378
401,2,50.0,Smirk,2.881101126608439
209,2,50.0,Dimpler,3.704961814341468
145,2,50.0,Brow Furrow,1.974602485394274
65,2,50.0,Joy,0.5709812072006465
129,2,50.0,Confusion,1.2008930889101177
417,2,50.0,Upper Lip Raise,0.7240631575034802
113,2,50.0,Sentimentality,0.7199208994429468
97,2,50.0,Surprise,1.505524072683985
1,2,50.0,Anger,1.5440744956811943
161,2,50.0,Brow Raise,3.7696445280664226
225,2,50.0,Eye Closure,2.584217943052553
49,2,50.0,Fear,1.4160276272171464
289,2,50.0,Lip Press,4.026554739106079
369,2,50.0,Nose Wrinkle,0.25781903297275877
241,2,50.0,Eye Widen,1.0786084054679328
81,2,50.0,Sadness,0.4249486918030969
257,2,50.0,Inner Brow Raise,0.49812170728915534
17,2,50.0,Contempt,2.3324158397563055
321,2,50.0,Lip Stretch,4.5510102491384945
353,2,50.0,Lid Tighten,1.2929517031897904
33,2,50.0,Disgust,0.4812052785336625
305,2,50.0,Lip Pucker,0.7536633254312874
273,2,50.0,Lip Corner Depressor,0.22172936363869883
130,3,55.0,Confusion,0.1387810455433229
370,3,55.0,Nose Wrinkle,0.03633152777104102
306,3,55.0,Lip Pucker,1.9788532539539605
290,3,55.0,Lip Press,1.7751127219696612
98,3,55.0,Surprise,3.017968677306077
322,3,55.0,Lip Stretch,0.4982008019429152
82,3,55.0,Sadness,0.13547282071914288
114,3,55.0,Sentimentality,0.34393474928371714
418,3,55.0,Upper Lip Raise,0.5169132612109346
146,3,55.0,Brow Furrow,0.2122191823670085
274,3,55.0,Lip Corner Depressor,0.1438563193059664
226,3,55.0,Eye Closure,1.5963888543512774
162,3,55.0,Brow Raise,4.238951985337914
354,3,55.0,Lid Tighten,0.22947993971739702
178,3,55.0,Cheek Raise,1.5814548431409812
434,3,55.0,Blink,0.0026355153500961606
386,3,55.0,Smile,1.6671424293071526
258,3,55.0,Inner Brow Raise,1.0458254752886798
194,3,55.0,Chin Raise,0.6055685413679598
242,3,55.0,Eye Widen,14.0585744339134
402,3,55.0,Smirk,1.8283325821829062
338,3,55.0,Lip Suck,3.2413528688143205
210,3,55.0,Dimpler,3.7727298898238146
50,3,55.0,Fear,2.3878492586589055
2,3,55.0,Anger,1.8583145443688767
66,3,55.0,Joy,1.129676261738864
34,3,55.0,Disgust,0.34234561133050834
18,3,55.0,Contempt,0.5740125772383587
339,4,75.0,Lip Suck,10.321260857279892
435,4,75.0,Blink,0.011137987286943804
243,4,75.0,Eye Widen,0.625646834100001
163,4,75.0,Brow Raise,0.45486717205314214
35,4,75.0,Disgust,0.6999269118513285
227,4,75.0,Eye Closure,3.92529873533285
19,4,75.0,Contempt,2.292134813410444
115,4,75.0,Sentimentality,1.2532241494316732
147,4,75.0,Brow Furrow,0.3317104421866912
371,4,75.0,Nose Wrinkle,0.5066636833475622
387,4,75.0,Smile,4.6718868750558205
275,4,75.0,Lip Corner Depressor,0.7729903649080004
131,4,75.0,Confusion,0.30018687348811646
